('AMC Empire 25', 300, 'IMAX', 'USA, New York'),
('Ster-Kinekor The Zone', 190, 'Standard', 'South Africa, Johannesburg'),
('Nu Metro Pavilion', 240, 'IMAX', 'South Africa, Durban'),
('Ster-Kinekor Gateway', 290, '3D', 'South Africa, Durban'),
('Nu Metro Westgate', 170, 'Standard', 'South Africa, Roodepoort'),
('Hoyts Melbourne Central', 190, '3D', 'Australia, Melbourne'),
('Event Cinemas George Street', 220, 'Standard', 'Australia, Sydney'),
('Hoyts Highpoint', 160, 'IMAX', 'Australia, Melbourne'),
('Village Cinemas Crown', 240, 'Standard', 'Australia, Melbourne'),
('Event Cinemas Chermside', 290, 'IMAX', 'Australia, Brisbane'),
('Hoyts Chadstone', 170, 'Standard', 'Australia, Melbourne'),
('AMC Lincoln Square', 280, 'IMAX', 'USA, New York'),
('Regal L.A. Live', 230, 'Standard', 'USA, Los Angeles'),
('Cinépolis Luxury Cinemas', 200, '3D', 'USA, San Francisco'),
('Alamo Drafthouse Cinema', 310, '3D', 'USA, Austin'),
('AMC Metreon', 260, 'Standard', 'USA, San Francisco'),
('Regal Battery Park', 220, 'IMAX', 'USA, New York'),
('Cinemark Tinseltown', 190, '3D', 'USA, Houston'),
('AMC Empire 25', 240, 'Standard', 'USA, New York'),
('Pacific Theatres at The Grove', 290, 'IMAX', 'USA, Los Angeles'),
('Regal Union Square Stadium 14', 170, 'Standard', 'USA, New York'),
('Vue Westfield London', 190, '3D', 'UK, London'),
('Odeon Luxe Leicester Square', 220, 'Standard', 'UK, London'),
('Everyman Cinema Bristol', 160, 'IMAX', 'UK, Bristol'),
('Empire Cinemas', 310, 'Standard', 'UK, London'),
('Vue Shepherds Bush', 260, 'IMAX', 'UK, London'),
('Cineworld Glasgow', 220, 'Standard', 'UK, Glasgow'),
('Vue Manchester Printworks', 190, '3D', 'UK, Manchester'),
('Odeon Liverpool One', 240, 'Standard', 'UK, Liverpool'),
('Everyman Cinema Leeds', 290, 'IMAX', 'UK, Leeds'),
('Vue Edinburgh Ocean Terminal', 170, 'Standard', 'UK, Edinburgh'),
('Pathé Beaugrenelle', 220, 'IMAX', 'France, Paris'),
('UGC Ciné Cité Les Halles', 250, 'Standard', 'France, Paris'),
('Le Grand Rex', 300, '3D', 'France, Paris'),
('Gaumont Opéra', 190, '3D', 'France, Paris'),
('Pathé Boulogne', 240, 'Standard', 'France, Boulogne-Billancourt'),
('MK2 Quai de Seine', 200, 'IMAX', 'France, Paris'),
('Pathé Wepler', 170, '3D', 'France, Paris'),
('UGC Ciné Cité La Défense', 220, 'Standard', 'France, Puteaux'),
('Pathé Conflans', 290, 'IMAX', 'France, Conflans-Sainte-Honorine'),
('CGR Paris Lilas', 160, 'Standard', 'France, Paris'),
('Cinemaxx Potsdamer Platz', 310, '3D', 'Germany, Berlin'),
('UCI Kinowelt Ruhr Park', 260, 'Standard', 'Germany, Bochum'),
('Cineplex Cologne', 200, 'IMAX', 'Germany, Cologne'),
('Cinemaxx Hamburg Dammtor', 290, '3D', 'Germany, Hamburg'),
('CineStar Original', 240, 'Standard', 'Germany, Cologne'),
('Cinemaxx Berlin Alexanderplatz', 200, 'IMAX', 'Germany, Berlin'),
('CineStar Sony Center', 170, '3D', 'Germany, Berlin'),
('UCI Kinowelt Düsseldorf', 220, 'Standard', 'Germany, Düsseldorf'),
('Cinemaxx Essen', 290, 'IMAX', 'Germany, Essen'),
('UCI Kinowelt Duisburg', 160, 'Standard', 'Germany, Duisburg'),
('Hoyts Melbourne Central', 190, '3D', 'Australia, Melbourne'),
('Event Cinemas George Street', 220, 'Standard', 'Australia, Sydney'),
('Hoyts Highpoint', 160, 'IMAX', 'Australia, Melbourne'),
('Village Cinemas Crown', 240, 'Standard', 'Australia, Melbourne'),
('Event Cinemas Chermside', 290, 'IMAX', 'Australia, Brisbane'),
('Hoyts Chadstone', 170, 'Standard', 'Australia, Melbourne'),
('Palace Cinema Como', 200, '3D', 'Australia, Melbourne'),
('Hoyts Entertainment Quarter', 240, 'Standard', 'Australia, Sydney'),
('Dendy Opera Quays', 290, 'IMAX', 'Australia, Sydney'),
('Village Cinemas Doncaster', 160, 'Standard', 'Australia, Melbourne'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Vancouver', 240, 'Standard', 'Canada, Vancouver'),
('Cineplex Odeon International Village', 240, 'Standard', 'Canada, Vancouver'),
('Cineplex Cinemas Vaughan', 190, 'IMAX', 'Canada, Vaughan'),
('Cineplex Cinemas Scarborough', 220, 'Standard', 'Canada, Scarborough'),
('Scotiabank Theatre Edmonton', 160, '3D', 'Canada, Edmonton'),
('Cineplex Odeon South Edmonton Cinemas', 190, 'Standard', 'Canada, Edmonton'),
('Cineplex Cinemas Queensway', 220, 'IMAX', 'Canada, Toronto'),
('Cineplex Odeon Eglinton Town Centre Cinemas', 290, '3D', 'Canada, Scarborough'),
('Scotiabank Theatre Calgary', 170, 'Standard', 'Canada, Calgary'),
('Cinemark Eldorado', 310, '3D', 'Brazil, Sao Paulo'),
('Cinepolis JK Iguatemi', 260, 'Standard', 'Brazil, Sao Paulo'),
('Kinoplex Shopping Leblon', 220, 'IMAX', 'Brazil, Rio de Janeiro'),
('Cinépolis RioMar Recife', 280, 'IMAX', 'Brazil, Recife'),
('Cinesystem Rio Anil Shopping', 260, 'Standard', 'Brazil, Sao Luis'),
('Cinemark Shopping Eldorado', 310, '3D', 'Brazil, Sao Paulo'),
('Cinemark Eldorado', 310, '3D', 'Brazil, Sao Paulo'),
('Cinepolis JK Iguatemi', 260, 'Standard', 'Brazil, Sao Paulo'),
('Kinoplex Shopping Leblon', 220, 'IMAX', 'Brazil, Rio de Janeiro'),
('Cinépolis RioMar Recife', 280, 'IMAX', 'Brazil, Recife'),
('Cinesystem Rio Anil Shopping', 260, 'Standard', 'Brazil, Sao Luis'),
('Cinemark Shopping Eldorado', 310, '3D', 'Brazil, Sao Paulo'),
('Cinépolis Iguatemi Esplanada', 290, 'IMAX', 'Brazil, Sorocaba'),
('Cinemark Pátio Higienópolis', 220, 'Standard', 'Brazil, Sao Paulo'),
('Cinepolis Parque Maia', 290, 'IMAX', 'Brazil, Guarulhos'),
('Cinépolis Millennium', 170, '3D', 'Brazil, Manaus'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Ambience Mall', 220, 'Standard', 'India, Gurgaon'),
('INOX Leisure', 190, '3D', 'India, Mumbai'),
('PVR Select City Walk', 190, '3D', 'India, Delhi'),
('INOX Nehru Place', 220, 'Standard', 'India, Delhi'),
('Carnival Cinemas High Street Phoenix', 160, 'IMAX', 'India, Mumbai'),
('PVR Phoenix Marketcity', 310, 'IMAX', 'India, Pune'),
('INOX Amanora Mall', 260, 'Standard', 'India, Pune'),
('Cinepolis Seasons Mall', 220, '3D', 'India, Pune'),
('PVR Forum Mall', 190, 'Standard', 'India, Bangalore'),
('Cinepolis Forum Buenavista', 280, 'IMAX', 'Mexico, Mexico City'),
('Cinemex Reforma', 230, 'Standard', 'Mexico, Mexico City'),
('Cinepolis Perisur', 200, '3D', 'Mexico, Mexico City'),
('Cinemex Mundo E', 310, '3D', 'Mexico, Tlalnepantla'),
('Cinepolis Universidad', 260, 'Standard', 'Mexico, Mexico City'),
('Cinemex Antara', 290, 'IMAX', 'Mexico, Mexico City'),
('Cinepolis Oasis Coyoacán', 220, '3D', 'Mexico, Mexico City'),
('Cinemex Pabellon Cuauhtemoc', 190, 'Standard', 'Mexico, Mexico City'),
('Cinepolis Samara Shops', 240, 'IMAX', 'Mexico, Santa Fe'),
('Cinemex Patio Universidad', 290, 'Standard', 'Mexico, Mexico City'),
('Cinemark Eldorado', 310, '3D', 'Brazil, Sao Paulo'),
('Cinepolis JK Iguatemi', 260, 'Standard', 'Brazil, Sao Paulo'),
('Kinoplex Shopping Leblon', 220, 'IMAX', 'Brazil, Rio de Janeiro'),
('Cinépolis RioMar Recife', 280, 'IMAX', 'Brazil, Recife'),
('Cinesystem Rio Anil Shopping', 260, 'Standard', 'Brazil, Sao Luis'),
('Cinemark Shopping Eldorado', 310, '3D', 'Brazil, Sao Paulo'),
('Cinépolis Iguatemi Esplanada', 290, 'IMAX', 'Brazil, Sorocaba'),
('Cinemark Pátio Higienópolis', 220, 'Standard', 'Brazil, Sao Paulo'),
('Cinepolis Parque Maia', 290, 'IMAX', 'Brazil, Guarulhos'),
('Cinépolis Millennium', 170, '3D', 'Brazil, Manaus'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Ambience Mall', 220, 'Standard', 'India, Gurgaon'),
('INOX Leisure', 190, '3D', 'India, Mumbai'),
('PVR Select City Walk', 190, '3D', 'India, Delhi'),
('INOX Nehru Place', 220, 'Standard', 'India, Delhi'),
('Carnival Cinemas High Street Phoenix', 160, 'IMAX', 'India, Mumbai'),
('PVR Phoenix Marketcity', 310, 'IMAX', 'India, Pune'),
('INOX Amanora Mall', 260, 'Standard', 'India, Pune'),
('Cinepolis Seasons Mall', 220, '3D', 'India, Pune'),
('PVR Forum Mall', 190, 'Standard', 'India, Bangalore'),
('Wanda Cinema Xidan', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Wangfujing', 200, 'Standard', 'China, Beijing'),
('Wanda Cinema Tianjin', 290, '3D', 'China, Tianjin'),
('CGV Cinema West Nanjing', 230, '3D', 'China, Nanjing'),
('Wanda Cinema Chengdu', 200, 'Standard', 'China, Chengdu'),
('Bona Cinema Chunxi Road', 170, 'IMAX', 'China, Chengdu'),
('Wanda Cinema Guangzhou', 220, 'Standard', 'China, Guangzhou'),
('Bona Cinema Beijing Road', 290, '3D', 'China, Guangzhou'),
('CGV Cinema Shenzhen', 180, 'Standard', 'China, Shenzhen'),
('Wanda Cinema Futian', 250, 'IMAX', 'China, Shenzhen'),
('Toho Cinemas Hibiya', 240, 'Standard', 'Japan, Tokyo'),
('United Cinemas Toyosu', 190, 'IMAX', 'Japan, Tokyo'),
('Toho Cinemas Umeda', 170, '3D', 'Japan, Osaka'),
('United Cinemas Osaka', 220, 'Standard', 'Japan, Osaka'),
('Toho Cinemas Namba', 200, 'IMAX', 'Japan, Osaka'),
('United Cinemas Hiroshima', 160, 'Standard', 'Japan, Hiroshima'),
('Toho Cinemas Yokohama', 190, '3D', 'Japan, Yokohama'),
('United Cinemas Kawasaki', 240, 'Standard', 'Japan, Kawasaki'),
('Toho Cinemas Kawasaki', 290, 'IMAX', 'Japan, Kawasaki'),
('United Cinemas Sapporo', 170, '3D', 'Japan, Sapporo'),
('Lotte Cinema World Tower', 230, 'Standard', 'South Korea, Seoul'),
('Megabox COEX', 200, '3D', 'South Korea, Seoul'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Megabox Haeundae', 200, 'IMAX', 'South Korea, Busan'),
('CGV Busan Seomyeon', 170, 'Standard', 'South Korea, Busan'),
('Lotte Cinema Daegu', 220, '3D', 'South Korea, Daegu'),
('Megabox Daejeon', 290, 'Standard', 'South Korea, Daejeon'),
('CGV Incheon', 260, 'IMAX', 'South Korea, Incheon'),
('Lotte Cinema Ulsan', 220, 'Standard', 'South Korea, Ulsan'),
('Ster-Kinekor Mall of Africa', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro Canal Walk', 200, 'Standard', 'South Africa, Cape Town'),
('Ster-Kinekor Ilanga Mall', 150, '3D', 'South Africa, Nelspruit'),
('Nu Metro Menlyn Park', 310, 'IMAX', 'South Africa, Pretoria'),
('Ster-Kinekor Sandton City', 260, 'Standard', 'South Africa, Johannesburg'),
('Nu Metro Boardwalk', 220, '3D', 'South Africa, Port Elizabeth'),
('Ster-Kinekor The Zone', 190, 'Standard', 'South Africa, Johannesburg'),
('Nu Metro Pavilion', 240, 'IMAX', 'South Africa, Durban'),
('Hoyts Abasto', 280, 'IMAX', 'Argentina, Buenos Aires'),
('Cinemark Palermo', 230, 'Standard', 'Argentina, Buenos Aires'),
('Village Recoleta', 200, '3D', 'Argentina, Buenos Aires'),
('Cinépolis Belgrano', 310, '3D', 'Argentina, Buenos Aires'),
('Atlas Flores', 260, 'Standard', 'Argentina, Buenos Aires'),
('Multiplex Belgrano', 220, 'IMAX', 'Argentina, Buenos Aires'),
('Cinemark Caballito', 190, '3D', 'Argentina, Buenos Aires'),
('Cinépolis Saavedra', 240, 'Standard', 'Argentina, Buenos Aires'),
('Hoyts Dot', 290, 'IMAX', 'Argentina, Buenos Aires'),
('Cinemark Tortugas', 170, 'Standard', 'Argentina, Pilar'),
('UCI Cinemas Pioltello', 190, '3D', 'Italy, Milan'),
('The Space Cinema Odeon', 220, 'Standard', 'Italy, Milan'),
('Cinema Anteo', 160, 'IMAX', 'Italy, Milan'),
('UCI Cinemas Lingotto', 310, '3D', 'Italy, Turin'),
('The Space Cinema Milano Centrale', 260, 'Standard', 'Italy, Milan'),
('Cinema Beltrade', 220, 'IMAX', 'Italy, Milan'),
('UCI Cinemas Bicocca', 190, '3D', 'Italy, Milan'),
('The Space Cinema Milano Odeon', 240, 'Standard', 'Italy, Milan'),
('Cinema Mexico', 290, 'IMAX', 'Italy, Milan'),
('UCI Cinemas Certosa', 170, 'Standard', 'Italy, Milan'),
('Cinesa Diagonal', 190, '3D', 'Spain, Barcelona'),
('Yelmo Cines Ideal', 220, 'Standard', 'Spain, Madrid'),
('Cine Capitol Gran Vía', 160, 'IMAX', 'Spain, Madrid'),
('Cinesa La Maquinista', 310, '3D', 'Spain, Barcelona'),
('Yelmo Cines Plaza Mayor', 260, 'Standard', 'Spain, Madrid'),
('Cine Doré', 220, 'IMAX', 'Spain, Madrid'),
('Cinesa Mendez Alvaro', 190, '3D', 'Spain, Madrid'),
('Kinépolis Ciudad de la Imagen', 240, 'Standard', 'Spain, Madrid'),
('Cinesa Heron City', 290, 'IMAX', 'Spain, Valencia'),
('Yelmo Cines Islazul', 170, 'Standard', 'Spain, Madrid'),
('Pathe De Munt', 280, 'IMAX', 'Netherlands, Amsterdam'),
('EYE Filmmuseum', 230, 'Standard', 'Netherlands, Amsterdam'),
('Cinecenter', 200, '3D', 'Netherlands, Amsterdam'),
('Pathe Tuschinski', 310, '3D', 'Netherlands, Amsterdam'),
('Filmhallen', 260, 'Standard', 'Netherlands, Amsterdam'),
('Cineblend', 220, 'IMAX', 'Netherlands, Amsterdam'),
('Kriterion', 190, '3D', 'Netherlands, Amsterdam'),
('Pathe Arena', 240, 'Standard', 'Netherlands, Amsterdam'),
('Cineville', 290, 'IMAX', 'Netherlands, Amsterdam'),
('Lab111', 170, 'Standard', 'Netherlands, Amsterdam'),
('Karo Film Zvezda', 190, '3D', 'Russia, Moscow'),
('Formula Kino Gorizont', 220, 'Standard', 'Russia, Moscow'),
('Cinema Park Metropolis', 160, 'IMAX', 'Russia, Moscow'),
('KinoMax Yekaterinburg', 310, '3D', 'Russia, Yekaterinburg'),
('Formula Kino Europa', 260, 'Standard', 'Russia, St. Petersburg'),
('Karo Film October', 220, 'IMAX', 'Russia, Moscow'),
('Cinema Park Mega Khimki', 190, '3D', 'Russia, Khimki'),
('Formula Kino Aurora', 240, 'Standard', 'Russia, St. Petersburg'),
('Cinema Park Mega Belaya Dacha', 290, 'IMAX', 'Russia, Kotelniki'),
('Cinemaximum Zorlu Center', 190, '3D', 'Turkey, Istanbul'),
('Cinemaximum Akasya', 220, 'Standard', 'Turkey, Istanbul'),
('Cinemaximum Istinye Park', 160, 'IMAX', 'Turkey, Istanbul'),
('Cinemaximum Marmara Forum', 310, '3D', 'Turkey, Istanbul'),
('Cinemaximum Capacity', 260, 'Standard', 'Turkey, Istanbul'),
('Cinemaximum Trump Towers', 220, 'IMAX', 'Turkey, Istanbul'),
('Cinemaximum Palladium', 190, '3D', 'Turkey, Istanbul'),
('Cinemaximum Carousel', 240, 'Standard', 'Turkey, Istanbul'),
('Cinemaximum Akbati', 290, 'IMAX', 'Turkey, Istanbul'),
('Cinemaximum Brandium', 170, 'Standard', 'Turkey, Istanbul'),
('Filmstaden Sergel', 280, 'IMAX', 'Sweden, Stockholm'),
('Biopalatset', 230, 'Standard', 'Sweden, Malmö'),
('Spegeln', 200, '3D', 'Sweden, Lund'),
('Fyrisbiografen', 310, '3D', 'Sweden, Uppsala'),
('Skandia', 260, 'Standard', 'Sweden, Stockholm'),
('Zita Folkets Bio', 220, 'IMAX', 'Sweden, Stockholm'),
('Filmstaden Scandinavia', 190, '3D', 'Sweden, Stockholm'),
('Capitol', 240, 'Standard', 'Sweden, Göteborg'),
('Slotts', 290, 'IMAX', 'Sweden, Uppsala'),
('Royal', 170, 'Standard', 'Sweden, Malmö'),
('Pathé Balexert', 280, 'IMAX', 'Switzerland, Geneva'),
('Ciné 17', 230, 'Standard', 'Switzerland, Lausanne'),
('Pathé Flon', 200, '3D', 'Switzerland, Lausanne'),
('Arena Cinemas', 310, '3D', 'Switzerland, Zurich'),
('Pathé Küchlin', 260, 'Standard', 'Switzerland, Basel'),
('Cinedome Abtwil', 220, 'IMAX', 'Switzerland, St. Gallen'),
('Pathé Mall of Switzerland', 190, '3D', 'Switzerland, Ebikon'),
('Capitol', 240, 'Standard', 'Switzerland, Bern'),
('Pathé Westside', 290, 'IMAX', 'Switzerland, Bern'),
('Arena Cinemas Sihlcity', 170, 'Standard', 'Switzerland, Zurich'),
('Kinepolis Brussels', 280, 'IMAX', 'Belgium, Brussels'),
('UGC De Brouckère', 230, 'Standard', 'Belgium, Brussels'),
('Cinematek', 200, '3D', 'Belgium, Brussels'),
('Cinema Palace', 310, '3D', 'Belgium, Brussels'),
('Cinebel', 260, 'Standard', 'Belgium, Brussels'),
('Kinepolis Antwerp', 220, 'IMAX', 'Belgium, Antwerp'),
('Cine ABC', 190, '3D', 'Belgium, Brussels'),
('Cine Paris', 240, 'Standard', 'Belgium, Brussels'),
('Aventure', 290, 'IMAX', 'Belgium, Brussels'),
('Styx', 170, 'Standard', 'Belgium, Brussels'),
('Odeon Oslo', 280, 'IMAX', 'Norway, Oslo'),
('Klingenberg Kino', 230, 'Standard', 'Norway, Oslo'),
('Gimle Kino', 200, '3D', 'Norway, Oslo'),
('Colosseum Kino', 310, '3D', 'Norway, Oslo'),
('Saga Kino', 260, 'Standard', 'Norway, Oslo'),
('Vika Kino', 220, 'IMAX', 'Norway, Oslo'),
('Ringen Kino', 190, '3D', 'Norway, Oslo'),
('CGV Cheongdam Cine City', 190, '3D', 'South Korea, Seoul'),
('Lotte Cinema Sinchon', 220, 'Standard', 'South Korea, Seoul'),
('Megabox Dongdaemun', 160, 'IMAX', 'South Korea, Seoul'),
('Cine de Chef Guro', 310, '3D', 'South Korea, Seoul'),
('CJ CGV Myeongdong Station Cine Library', 260, 'Standard', 'South Korea, Seoul'),
('Lotte Cinema Nowon', 220, 'IMAX', 'South Korea, Seoul'),
('Megabox Gangnam', 190, '3D', 'South Korea, Seoul'),
('CGV Mokdong', 240, 'Standard', 'South Korea, Seoul'),
('Lotte Cinema Daehakro', 290, 'IMAX', 'South Korea, Seoul'),
('CGV Wangsimni', 170, 'Standard', 'South Korea, Seoul'),
('Cathay Cineplex Orchard', 280, 'IMAX', 'Singapore, Singapore'),
('Golden Village VivoCity', 230, 'Standard', 'Singapore, Singapore'),
('Shaw Theatres NEX', 200, '3D', 'Singapore, Singapore'),
('Filmgarde Bugis+', 310, '3D', 'Singapore, Singapore'),
('WE Cinemas Clementi', 260, 'Standard', 'Singapore, Singapore'),
('The Projector', 220, 'IMAX', 'Singapore, Singapore'),
('Cathay Cineplex AMK Hub', 190, '3D', 'Singapore, Singapore'),
('Golden Village Suntec City', 240, 'Standard', 'Singapore, Singapore'),
('Shaw Theatres Seletar', 290, 'IMAX', 'Singapore, Singapore'),
('WE Cinemas Shaw Centre', 170, 'Standard', 'Singapore, Singapore'),
('Cinepolis Perisur', 280, 'IMAX', 'Mexico, Mexico City'),
('Cinemex Mundo E', 230, 'Standard', 'Mexico, Tlalnepantla'),
('Cinepolis Universidad', 200, '3D', 'Mexico, Mexico City'),
('Cinemex Antara', 310, '3D', 'Mexico, Mexico City'),
('Cinepolis Oasis Coyoacán', 260, 'Standard', 'Mexico, Mexico City'),
('Cinemex Pabellon Cuauhtemoc', 290, 'IMAX', 'Mexico, Mexico City'),
('Cinepolis Samara Shops', 220, '3D', 'Mexico, Santa Fe'),
('Cinemex Patio Universidad', 190, 'Standard', 'Mexico, Mexico City'),
('Cinepolis Galerias Atizapan', 240, 'IMAX', 'Mexico, Atizapan de Zaragoza'),
('Cinemex Las Americas', 290, 'Standard', 'Mexico, Ecatepec'),
('Wanda Cinema Xidan', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Wangfujing', 200, 'Standard', 'China, Beijing'),
('Wanda Cinema Tianjin', 290, '3D', 'China, Tianjin'),
('CGV Cinema West Nanjing', 230, '3D', 'China, Nanjing'),
('Wanda Cinema Chengdu', 200, 'Standard', 'China, Chengdu'),
('Bona Cinema Chunxi Road', 170, 'IMAX', 'China, Chengdu'),
('Wanda Cinema Guangzhou', 220, 'Standard', 'China, Guangzhou'),
('Bona Cinema Beijing Road', 290, '3D', 'China, Guangzhou'),
('CGV Cinema Shenzhen', 180, 'Standard', 'China, Shenzhen'),
('Wanda Cinema Futian', 250, 'IMAX', 'China, Shenzhen'),
('Toho Cinemas Hibiya', 240, 'Standard', 'Japan, Tokyo'),
('United Cinemas Toyosu', 190, 'IMAX', 'Japan, Tokyo'),
('Toho Cinemas Umeda', 170, '3D', 'Japan, Osaka'),
('United Cinemas Osaka', 220, 'Standard', 'Japan, Osaka'),
('Toho Cinemas Namba', 200, 'IMAX', 'Japan, Osaka'),
('United Cinemas Hiroshima', 160, 'Standard', 'Japan, Hiroshima'),
('Toho Cinemas Yokohama', 190, '3D', 'Japan, Yokohama'),
('United Cinemas Kawasaki', 240, 'Standard', 'Japan, Kawasaki'),
('Toho Cinemas Kawasaki', 290, 'IMAX', 'Japan, Kawasaki'),
('United Cinemas Sapporo', 170, '3D', 'Japan, Sapporo'),
('VOX Cinemas Mall of the Emirates', 280, 'IMAX', 'UAE, Dubai'),
('Reel Cinemas The Dubai Mall', 230, 'Standard', 'UAE, Dubai'),
('Novo Cinemas Ibn Battuta Mall', 200, '3D', 'UAE, Dubai'),
('Roxy Cinemas City Walk', 310, '3D', 'UAE, Dubai'),
('VOX Cinemas Yas Mall', 260, 'Standard', 'UAE, Abu Dhabi'),
('Reel Cinemas The Pointe', 220, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas Dragon Mart', 190, '3D', 'UAE, Dubai'),
('Roxy Cinemas Boxpark', 240, 'Standard', 'UAE, Dubai'),
('VOX Cinemas City Centre Deira', 290, 'IMAX', 'UAE, Dubai'),
('Reel Cinemas Jebel Ali Recreation Club', 170, 'Standard', 'UAE, Dubai'),
('AMC Cinemas Riyadh Park', 280, 'IMAX', 'Saudi Arabia, Riyadh'),
('VOX Cinemas Red Sea Mall', 230, 'Standard', 'Saudi Arabia, Jeddah'),
('Empire Cinemas Soudah Park', 200, '3D', 'Saudi Arabia, Abha'),
('AMC Cinemas Azizia Mall', 310, '3D', 'Saudi Arabia, Riyadh'),
('VOX Cinemas Granada Center', 260, 'Standard', 'Saudi Arabia, Riyadh'),
('Empire Cinemas Obhur', 220, 'IMAX', 'Saudi Arabia, Jeddah'),
('AMC Cinemas Al Khobar', 190, '3D', 'Saudi Arabia, Al Khobar'),
('VOX Cinemas Panorama Mall', 240, 'Standard', 'Saudi Arabia, Riyadh'),
('Empire Cinemas Jazan', 290, 'IMAX', 'Saudi Arabia, Jazan'),
('AMC Cinemas Hayat Mall', 170, 'Standard', 'Saudi Arabia, Riyadh'),
('VOX Cinemas Doha Festival City', 280, 'IMAX', 'Qatar, Doha'),
('Novo Cinemas The Pearl', 230, 'Standard', 'Qatar, Doha'),
('Cinema Qatar Villagio', 200, '3D', 'Qatar, Doha'),
('Roxy Cinemas Lagoona Mall', 310, '3D', 'Qatar, Doha'),
('Flik Cinema Mirqab Mall', 260, 'Standard', 'Qatar, Doha'),
('Empire Cinemas Mall of Qatar', 220, 'IMAX', 'Qatar, Doha'),
('West End Park Cinema', 190, '3D', 'Qatar, Doha'),
('Royal Plaza Cinema', 240, 'Standard', 'Qatar, Doha'),
('Al Jazeera Cinema', 290, 'IMAX', 'Qatar, Doha'),
('Royal Cinema', 170, 'Standard', 'Qatar, Doha'),
('GSC Mid Valley', 280, 'IMAX', 'Malaysia, Kuala Lumpur'),
('TGV Cinemas Sunway Pyramid', 230, 'Standard', 'Malaysia, Petaling Jaya'),
('MBO Cinemas KSL City', 200, '3D', 'Malaysia, Johor Bahru'),
('GSC 1 Utama', 310, '3D', 'Malaysia, Petaling Jaya'),
('TGV Cinemas Bukit Tinggi', 260, 'Standard', 'Malaysia, Klang'),
('MBO Cinemas Kepong Village Mall', 220, 'IMAX', 'Malaysia, Kuala Lumpur'),
('GSC Pavilion KL', 190, '3D', 'Malaysia, Kuala Lumpur'),
('TGV Cinemas Setia Walk', 240, 'Standard', 'Malaysia, Puchong'),
('MBO Cinemas The Spring', 290, 'IMAX', 'Malaysia, Kuching'),
('GSC Gurney Plaza', 170, 'Standard', 'Malaysia, Penang'),
('CGV Cheongdam Cine City', 190, '3D', 'South Korea, Seoul'),
('Lotte Cinema Sinchon', 220, 'Standard', 'South Korea, Seoul'),
('Megabox Dongdaemun', 160, 'IMAX', 'South Korea, Seoul'),
('Cine de Chef Guro', 310, '3D', 'South Korea, Seoul'),
('CJ CGV Myeongdong Station Cine Library', 260, 'Standard', 'South Korea, Seoul'),
('Lotte Cinema Nowon', 220, 'IMAX', 'South Korea, Seoul'),
('Megabox Gangnam', 190, '3D', 'South Korea, Seoul'),
('CGV Mokdong', 240, 'Standard', 'South Korea, Seoul'),
('Lotte Cinema Daehakro', 290, 'IMAX', 'South Korea, Seoul'),
('CGV Wangsimni', 170, 'Standard', 'South Korea, Seoul'),
('Cathay Cineplex Orchard', 280, 'IMAX', 'Singapore, Singapore'),
('Golden Village VivoCity', 230, 'Standard', 'Singapore, Singapore'),
('Shaw Theatres NEX', 200, '3D', 'Singapore, Singapore'),
('Filmgarde Bugis+', 310, '3D', 'Singapore, Singapore'),
('WE Cinemas Clementi', 260, 'Standard', 'Singapore, Singapore'),
('The Projector', 220, 'IMAX', 'Singapore, Singapore'),
('Cathay Cineplex AMK Hub', 190, '3D', 'Singapore, Singapore'),
('Golden Village Suntec City', 240, 'Standard', 'Singapore, Singapore'),
('Shaw Theatres Seletar', 290, 'IMAX', 'Singapore, Singapore'),
('WE Cinemas Shaw Centre', 170, 'Standard', 'Singapore, Singapore'),
('UGC Les Halles', 280, 'IMAX', 'France, Paris'),
('Gaumont Opéra', 230, 'Standard', 'France, Paris'),
('Pathé Beaugrenelle', 200, '3D', 'France, Paris'),
('MK2 Bibliothèque', 310, '3D', 'France, Paris'),
('UGC Bercy', 260, 'Standard', 'France, Paris'),
('Pathé La Villette', 220, 'IMAX', 'France, Paris'),
('Gaumont Parnasse', 190, '3D', 'France, Paris'),
('Mega CGR Epinay', 240, 'Standard', 'France, Epinay'),
('Kinépolis Lomme', 290, 'IMAX', 'France, Lomme'),
('UGC Cine Cité Strasbourg', 170, 'Standard', 'France, Strasbourg'),
('Cinemaxx Hamburg Dammtor', 280, 'IMAX', 'Germany, Hamburg'),
('UCI Kinowelt Ruhr Park', 230, 'Standard', 'Germany, Bochum'),
('CineStar Berlin Potsdamer Platz', 200, '3D', 'Germany, Berlin'),
('Cinemaxx Essen', 310, '3D', 'Germany, Essen'),
('UCI Kinowelt Colosseum', 260, 'Standard', 'Germany, Berlin'),
