('109 Cinemas Grandberry Mall', 310, '3D', 'Japan, Tokyo'),
('Muvi Cinemas Al Nakheel Mall', 170, 'Standard', 'Saudi Arabia, Riyadh'),
('Muvi Cinemas Hayat Mall', 260, 'Standard', 'Saudi Arabia, Riyadh'),
('Muvi Cinemas Nakheel Mall', 240, 'Standard', 'Saudi Arabia, Riyadh'),
('Muvi Cinemas Panorama Mall', 310, '3D', 'Saudi Arabia, Riyadh'),
('Muvi Cinemas Park Mall', 200, '3D', 'Saudi Arabia, Riyadh'),
('Muvi Cinemas Sahara Mall', 190, '3D', 'Saudi Arabia, Riyadh'),
('Méga CGR Évry', 240, 'Standard', 'France, Évry'),
('Nile City Cinema', 290, 'IMAX', 'Egypt, Cairo'),
('Nordisk Film Kino Colosseum', 200, '3D', 'Norway, Oslo'),
('Nordisk Film Kino Drammen', 240, 'Standard', 'Norway, Drammen'),
('Nordisk Film Kino Kristiansand', 220, 'IMAX', 'Norway, Kristiansand'),
('Nordisk Film Kino Stavanger', 220, 'IMAX', 'Norway, Stavanger'),
('Nordisk Film Kino Trondheim', 230, 'Standard', 'Norway, Trondheim'),
('Nordisk Film Kino Tønsberg', 170, 'Standard', 'Norway, Tønsberg'),
('Novo Cinemas', 250, 'Standard', 'UAE, Abu Dhabi'),
('Novo Cinemas Dragon Mart', 190, '3D', 'UAE, Dubai'),
('Novo Cinemas Dubai Festival City', 170, 'Standard', 'UAE, Dubai'),
('Novo Cinemas Festival City', 220, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas Ibn Battuta Mall', 200, '3D', 'UAE, Dubai'),
('Novo Cinemas The Pearl', 230, 'Standard', 'Qatar, Doha'),
('Nu Metro', 200, 'Standard', 'South Africa, Cape Town'),
('Nu Metro Ballito Junction', 170, 'Standard', 'South Africa, Ballito'),
('Nu Metro Boardwalk', 220, '3D', 'South Africa, Port Elizabeth'),
('Nu Metro Canal Walk', 200, 'Standard', 'South Africa, Cape Town'),
('Nu Metro Clearwater Mall', 170, 'Standard', 'South Africa, Roodepoort'),
('Nu Metro Emperors Palace', 170, 'Standard', 'South Africa, Kempton Park'),
('Nu Metro Galleria', 260, 'Standard', 'South Africa, Amanzimtoti'),
('Nu Metro Hyde Park', 220, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro Key West', 190, 'Standard', 'South Africa, Krugersdorp'),
('Nu Metro Mall of Africa', 240, 'Standard', 'South Africa, Johannesburg'),
('Nu Metro Menlyn Park', 190, '3D', 'South Africa, Pretoria'),
('Nu Metro Pavilion', 170, 'Standard', 'South Africa, Durban'),
('Nu Metro The Glen', 220, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 170, 'Standard', 'South Africa, Cape Town'),
('Nu Metro Westgate', 170, 'Standard', 'South Africa, Roodepoort'),
('Nueplex Cinemas', 230, 'Standard', 'Pakistan, Karachi'),
('Nueplex Cinemas Rashid Minhas Road', 260, 'Standard', 'Pakistan, Karachi'),
('Nueplex Cinemas The Place DHA', 240, 'Standard', 'Pakistan, Karachi'),
('Nueplex Cinemas, The Place', 280, 'IMAX', 'Pakistan, Karachi'),
('ODEON Leicester Square', 180, 'IMAX', 'UK, London'),
('ODEON Leicester Square', 280, 'IMAX', 'United Kingdom, London'),
('ODEON Liverpool ONE', 260, 'Standard', 'United Kingdom, Liverpool'),
('ODEON Luxe Greenwich', 190, '3D', 'UK, London'),
('ODEON Luxe Haymarket', 190, '3D', 'United Kingdom, London'),
('ODEON Luxe Leicester Square', 230, 'Standard', 'United Kingdom, London'),
('ODEON Luxe Leicester Square', 280, 'IMAX', 'UK, London'),
('ODEON Southampton', 240, 'Standard', 'United Kingdom, Southampton'),
('Octagon Cinema', 150, 'IMAX', 'Russia, Moscow'),
('Odeon Agios Kosmas', 190, '3D', 'Greece, Agios Kosmas'),
('Odeon Bergen', 260, 'Standard', 'Norway, Bergen'),
('Odeon Fredrikstad', 170, 'Standard', 'Norway, Fredrikstad'),
('Odeon Glyfada Cinemas', 260, 'Standard', 'Greece, Glyfada'),
('Odeon Kifisia Cinemas', 230, 'Standard', 'Greece, Kifisia'),
('Odeon Leicester Square', 280, 'IMAX', 'United Kingdom, London'),
('Odeon Liverpool One', 240, 'Standard', 'UK, Liverpool'),
('Odeon Luxe Leicester Square', 180, 'IMAX', 'UK, London'),
('Odeon Moss', 190, '3D', 'Norway, Moss'),
('Odeon Oslo', 280, 'IMAX', 'Norway, Oslo'),
('Odeon Piraeus Cinemas', 240, 'Standard', 'Greece, Piraeus'),
('Odeon Sandvika', 200, '3D', 'Norway, Sandvika'),
('Odeon Skien', 290, 'IMAX', 'Norway, Skien'),
('Odeon Starcity', 230, 'Standard', 'Greece, Thessaloniki'),
('Odeon Trafford Centre', 240, 'Standard', 'UK, Manchester'),
('Odeon Trafford Centre', 240, 'Standard', 'United Kingdom, Manchester'),
('Odeon Trondheim', 190, '3D', 'Norway, Trondheim'),
('Osaka Station City Cinema', 240, 'Standard', 'Japan, Osaka'),
('PVR Ambience Mall', 190, '3D', 'India, Gurgaon'),
('PVR Cinemas', 180, '3D', 'India, Mumbai'),
('PVR Cinemas Inorbit Mall', 190, '3D', 'India, Malad'),
('PVR Cinemas Oberoi Mall', 310, '3D', 'India, Mumbai'),
('PVR Cinemas Phoenix Marketcity', 280, 'IMAX', 'India, Mumbai'),
('PVR Cinemas Xperia Mall', 170, 'Standard', 'India, Palava'),
('PVR DLF Mall of India', 170, 'Standard', 'India, Noida'),
('PVR Forum Mall', 190, 'Standard', 'India, Bangalore'),
('PVR Highstreet Phoenix', 190, '3D', 'India, Mumbai'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Inorbit Mall', 170, 'Standard', 'India, Hyderabad'),
('PVR Orion Mall', 240, 'Standard', 'India, Bangalore'),
('PVR Pacific Mall', 260, 'Standard', 'India, Dehradun'),
('PVR Phoenix Marketcity', 310, 'IMAX', 'India, Pune'),
('PVR Phoenix Mills', 190, '3D', 'India, Mumbai'),
('PVR Plaza', 220, 'Standard', 'India, Delhi'),
('PVR Select City Walk', 190, '3D', 'India, Delhi'),
('Pacific Theatres at The Grove', 230, 'Standard', 'USA, Los Angeles'),
('Packages Mall Cinestar', 280, 'IMAX', 'Pakistan, Lahore'),
('Palace Cinema Como', 190, '3D', 'Australia, Melbourne'),
('Palace Westgarth', 230, 'Standard', 'Australia, Melbourne'),
('Palace ifc', 170, 'Standard', 'Hong Kong, Central'),
('Paragon Cineplex', 200, '3D', 'Thailand, Bangkok'),
('Pathe Arena', 170, 'Standard', 'Netherlands, Amsterdam'),
('Pathe Balexert', 230, 'Standard', 'Switzerland, Geneva'),
('Pathe Buitenhof', 190, '3D', 'Netherlands, The Hague'),
('Pathe De Munt', 280, 'IMAX', 'Netherlands, Amsterdam'),
('Pathe Flon Lausanne', 220, 'IMAX', 'Switzerland, Lausanne'),
('Pathe Kino Freiburg', 240, 'Standard', 'Switzerland, Fribourg'),
('Pathe Kino La Praille', 170, 'Standard', 'Switzerland, Geneva'),
('Pathe Kino Mall of Switzerland', 310, '3D', 'Switzerland, Ebikon'),
('Pathe Kino Sihlcity', 230, 'Standard', 'Switzerland, Zurich'),
('Pathe Kino Westside', 220, 'IMAX', 'Switzerland, Bern'),
('Pathe Küchlin', 240, 'Standard', 'Switzerland, Basel'),
('Pathe Küchlin Basel', 170, 'Standard', 'Switzerland, Basel'),
('Pathe Mall of Switzerland', 310, '3D', 'Switzerland, Ebikon'),
('Pathe Rex', 170, 'Standard', 'Switzerland, Zurich'),
('Pathe Scheveningen', 190, '3D', 'Netherlands, The Hague'),
('Pathe Schouwburgplein', 260, 'Standard', 'Netherlands, Rotterdam'),
('Pathe Spuimarkt', 170, 'Standard', 'Netherlands, The Hague'),
('Pathe Tuschinski', 280, 'IMAX', 'Netherlands, Amsterdam'),
('Pathe Westside', 220, 'IMAX', 'Switzerland, Bern'),
('Pathe Westside Bern', 240, 'Standard', 'Switzerland, Bern'),
('Pathe de Munt', 310, '3D', 'Netherlands, Amsterdam'),
('Pathé Balexert', 280, 'IMAX', 'Switzerland, Geneva'),
('Pathé Beaugrenelle', 160, 'Standard', 'France, Paris'),
('Pathé Belle Épine', 160, 'Standard', 'France, Paris'),
('Pathé Boulogne', 170, 'Standard', 'France, Boulogne-Billancourt'),
('Pathé Conflans', 290, 'IMAX', 'France, Conflans-Sainte-Honorine'),
('Pathé Flon', 200, '3D', 'Switzerland, Lausanne'),
('Pathé Küchlin', 260, 'Standard', 'Switzerland, Basel'),
('Pathé La Villette', 160, 'Standard', 'France, Paris'),
('Pathé Levallois', 170, 'Standard', 'France, Levallois-Perret'),
('Pathé Mall of Switzerland', 190, '3D', 'Switzerland, Ebikon'),
('Pathé Wepler', 170, '3D', 'France, Paris'),
('Pathé Westside', 290, 'IMAX', 'Switzerland, Bern'),
('Picturehouse Central', 220, 'IMAX', 'UK, London'),
('Picturehouse Central', 220, 'IMAX', 'United Kingdom, London'),
('Playarte Bristol', 200, '3D', 'Brazil, São Paulo'),
('Plaza Cinema', 220, 'Standard', 'Jordan, Zarqa'),
('Plaza Cinema Plaza Mall', 220, 'Standard', 'Jordan, Amman'),
('Point 90 Cinemas', 200, '3D', 'Egypt, Cairo'),
('Point 90 Mall Cinemas', 200, '3D', 'Egypt, New Cairo'),
('Porto Cairo Mall Cinemas', 290, 'IMAX', 'Egypt, Cairo'),
('Prestige Cinema', 150, '3D', 'Kenya, Nairobi'),
('Prestige Cinema Prestige Plaza', 150, '3D', 'Kenya, Nairobi'),
('Prime Cinemas', 150, '3D', 'Jordan, Amman'),
('Prime Cinemas Prime Complex', 150, '3D', 'Jordan, Amman'),
('Prince Charles Cinema', 200, 'IMAX', 'UK, London'),
('Procinal La Central', 290, 'IMAX', 'Colombia, Medellín'),
('Procinal Mayorca Mega Plaza', 230, 'Standard', 'Colombia, Medellín'),
('Procinal Puerta del Norte', 260, 'Standard', 'Colombia, Bello'),
('Reel Cinemas Al Ghurair Centre', 240, 'Standard', 'UAE, Dubai'),
('Reel Cinemas Dubai Marina Mall', 260, 'Standard', 'UAE, Dubai'),
('Reel Cinemas Jebel Ali Recreation Club', 170, 'Standard', 'UAE, Dubai'),
('Reel Cinemas The Dubai Mall', 230, 'Standard', 'UAE, Dubai'),
('Reel Cinemas The Pointe', 220, 'IMAX', 'UAE, Dubai'),
('Regal Battery Park', 220, 'IMAX', 'USA, New York'),
('Regal Cinemas Battery Park', 280, 'IMAX', 'USA, New York'),
('Regal L.A. Live', 230, 'Standard', 'USA, Los Angeles'),
('Regal Union Square', 280, 'IMAX', 'USA, New York'),
('Regal Union Square Stadium 14', 170, 'Standard', 'USA, New York'),
('Renaissance Cinema Dandy Mega Mall', 240, 'Standard', 'Egypt, Cairo'),
('Ringen Kino', 190, '3D', 'Norway, Oslo'),
('Robinsons Galleria Cinema', 220, 'IMAX', 'Philippines, Quezon City'),
('Robinsons Magnolia Movieworld', 260, 'Standard', 'Philippines, Quezon City'),
('Robinsons Movieworld Galleria', 310, '3D', 'Philippines, Quezon City'),
('Robinsons Movieworld Magnolia', 240, 'Standard', 'Philippines, Quezon City'),
('Roxy Cinemas Boxpark', 240, 'Standard', 'UAE, Dubai'),
('Roxy Cinemas City Walk', 200, '3D', 'UAE, Dubai'),
('Roxy Cinemas Lagoona Mall', 310, '3D', 'Qatar, Doha'),
('Roxy Cinemas The Beach', 190, '3D', 'UAE, Dubai'),
('Royal', 170, 'Standard', 'Sweden, Malmö'),
('Royal Cinema', 170, 'Standard', 'Qatar, Doha'),
('Royal Films Americano', 220, 'IMAX', 'Colombia, Barranquilla'),
('Royal Films Buenaventura', 170, 'Standard', 'Colombia, Buenaventura'),
('Royal Films Buenavista', 230, 'Standard', 'Colombia, Barranquilla'),
('Royal Films Portal del Prado', 310, '3D', 'Colombia, Barranquilla'),
('Royal Films Santafe', 240, 'Standard', 'Colombia, Bogotá'),
('Royal Films Santafé', 240, 'Standard', 'Colombia, Bogotá'),
('Royal Plaza Cinema', 240, 'Standard', 'Qatar, Doha'),
('SF Bio Göteborg', 240, 'Standard', 'Sweden, Gothenburg'),
('SF Bio Helsingborg', 170, 'Standard', 'Sweden, Helsingborg'),
('SF Bio Heron City', 230, 'Standard', 'Sweden, Stockholm'),
('SF Bio Mall of Scandinavia', 310, '3D', 'Sweden, Solna'),
('SF Bio Malmö', 170, 'Standard', 'Sweden, Malmö'),
('SF Bio Norrköping', 240, 'Standard', 'Sweden, Norrköping'),
('SF Bio Sickla', 220, 'IMAX', 'Sweden, Nacka'),
('SF Bio Uppsala', 170, 'Standard', 'Sweden, Uppsala'),
('SF Bio Västerås', 240, 'Standard', 'Sweden, Västerås'),
('SF Cinema CentralWorld', 280, 'IMAX', 'Thailand, Bangkok'),
('SF Cinema City CentralFestival Chiang Mai', 240, 'Standard', 'Thailand, Chiang Mai'),
('SF Cinema City CentralPlaza Grand Rama 9', 220, 'IMAX', 'Thailand, Bangkok'),
('SF Cinema City CentralPlaza Udon Thani', 170, 'Standard', 'Thailand, Udon Thani'),
('SF Cinema City MBK Center', 220, 'IMAX', 'Thailand, Bangkok'),
('SF Cinema City Robinson Srisaman', 240, 'Standard', 'Thailand, Nakhon Pathom'),
('SF Cinema City Terminal 21', 290, 'IMAX', 'Thailand, Bangkok'),
('SF Cinema City Terminal 21 Korat', 170, 'Standard', 'Thailand, Nakhon Ratchasima'),
('SF Cinema City The Crystal Ratchapruek', 170, 'Standard', 'Thailand, Nonthaburi'),
('SF Cinema City The Mall Bangkapi', 190, '3D', 'Thailand, Bangkok'),
('SF Cinema Terminal 21', 240, 'Standard', 'Thailand, Bangkok'),
('SF Cinema The Mall Bangkapi', 310, '3D', 'Thailand, Bangkok'),
('SF World Cinema CentralWorld', 230, 'Standard', 'Thailand, Bangkok'),
('SM Cinema Aura Premier', 290, 'IMAX', 'Philippines, Taguig'),
('SM Cinema Fairview Terraces', 190, '3D', 'Philippines, Quezon City'),
('SM Cinema Mall of Asia', 200, '3D', 'Philippines, Pasay'),
('SM Cinema Megamall', 280, 'IMAX', 'Philippines, Mandaluyong'),
('SM Cinema North Edsa', 260, 'Standard', 'Philippines, Quezon City'),
('SM Mall of Asia Cinema', 200, '3D', 'Philippines, Pasay'),
('SM Megamall Cinema', 280, 'IMAX', 'Philippines, Mandaluyong'),
('SM North EDSA Cinema', 190, '3D', 'Philippines, Quezon City'),
('SPI Cinemas Forum Vijaya Mall', 290, 'IMAX', 'India, Chennai'),
('SPI Cinemas Lulu Mall', 310, '3D', 'India, Kochi'),
('Saga Kino', 260, 'Standard', 'Norway, Oslo'),
('San Stefano Mall Cinemas', 240, 'Standard', 'Egypt, Alexandria'),
('Sarit Centre IMAX', 220, 'Standard', 'Kenya, Mombasa'),
('Scotiabank Theatre', 150, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Calgary', 170, 'Standard', 'Canada, Calgary'),
('Scotiabank Theatre Chinook', 240, 'Standard', 'Canada, Calgary'),
('Scotiabank Theatre Edmonton', 160, '3D', 'Canada, Edmonton'),
('Scotiabank Theatre Toronto', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Vancouver', 230, 'Standard', 'Canada, Vancouver'),
('Seef Cinema', 220, 'Standard', 'Bahrain, Muharraq'),
('Shanghai Film Art Center', 200, 'Standard', 'China, Shanghai'),
('Shaw Theatres JCube', 260, 'Standard', 'Singapore, Jurong East'),
('Shaw Theatres Nex', 200, '3D', 'Singapore, Serangoon'),
('Shaw Theatres Seletar', 240, 'Standard', 'Singapore, Seletar'),
('Shaw Theatres Seletar Mall', 290, 'IMAX', 'Singapore, Sengkang'),
('Shaw Theatres Waterway Point', 170, 'Standard', 'Singapore, Punggol'),
('Shin Kong Cinemas', 220, 'IMAX', 'Taiwan, Taipei'),
('Shishu Academy Cinema Hall', 170, 'Standard', 'Bangladesh, Dhaka'),
('Show Motion Cinemas', 260, 'Standard', 'Bangladesh, Dhaka'),
('Showcase Belgrano', 260, 'Standard', 'Argentina, Buenos Aires'),
('Showcase Cinema de Lux Leicester', 190, '3D', 'United Kingdom, Leicester'),
('Showcase Norte', 170, 'Standard', 'Argentina, Vicente López'),
('Showtime Cinemas', 240, 'Standard', 'Taiwan, Taoyuan'),
('Showtime Cinemas Taichung', 190, '3D', 'Taiwan, Taichung'),
('Shyamoli Cinema', 260, 'Standard', 'Bangladesh, Dhaka'),
('Shyamoli Cinema Chittagong', 290, 'IMAX', 'Bangladesh, Chittagong'),
('Silver Cinema', 170, 'Standard', 'Egypt, Nasr City'),
('Silverbird Cinemas Festival Mall', 220, 'IMAX', 'Nigeria, Lagos'),
('Silverbird Cinemas Ikeja', 200, '3D', 'Nigeria, Lagos'),
('Silverbird Cinemas Victoria Island', 290, 'IMAX', 'Nigeria, Lagos'),
('Skandia', 260, 'Standard', 'Sweden, Stockholm'),
('Slotts', 290, 'IMAX', 'Sweden, Uppsala'),
('Sozo World Cinema', 240, 'Standard', 'Pakistan, Lahore'),
('Spegeln', 200, '3D', 'Sweden, Lund'),
('Star Cineplex', 280, 'IMAX', 'Bangladesh, Dhaka'),
('Star Cineplex Bashundhara', 240, 'Standard', 'Bangladesh, Dhaka'),
('Star Cineplex Bashundhara City', 230, 'Standard', 'Bangladesh, Dhaka'),
('Star Cineplex Bashundhara Residential Area', 240, 'Standard', 'Bangladesh, Dhaka'),
('Star Cineplex Chittagong', 240, 'Standard', 'Bangladesh, Chittagong'),
('Star Cineplex SKS Tower', 220, 'IMAX', 'Bangladesh, Dhaka'),
('Star Cineplex Shimanto Shambhar', 310, '3D', 'Bangladesh, Dhaka'),
('Star Cineplex Shimanto Square', 310, '3D', 'Bangladesh, Dhaka'),
('Stars Cinema', 220, 'IMAX', 'Egypt, Heliopolis'),
('Ster Cinemas Agia Paraskevi', 170, 'Standard', 'Greece, Agia Paraskevi'),
('Ster Cinemas Ellinikon', 260, 'Standard', 'Greece, Elliniko'),
('Ster-Kinekor', 180, 'IMAX', 'South Africa, Johannesburg'),
('Ster-Kinekor Blue Route Mall', 310, '3D', 'South Africa, Cape Town'),
('Ster-Kinekor Brooklyn Mall', 260, 'Standard', 'South Africa, Pretoria'),
('Ster-Kinekor Cresta', 170, 'Standard', 'South Africa, Johannesburg'),
('Ster-Kinekor Eastgate', 200, '3D', 'South Africa, Johannesburg'),
('Ster-Kinekor Gateway', 200, '3D', 'South Africa, Durban'),
('Ster-Kinekor I langa Mall', 150, '3D', 'South Africa, Nelspruit'),
('Ster-Kinekor Ilanga Mall', 150, '3D', 'South Africa, Nelspruit'),
('Ster-Kinekor Irene Mall', 230, 'Standard', 'South Africa, Centurion'),
('Ster-Kinekor Kolonnade', 260, 'Standard', 'South Africa, Pretoria'),
('Ster-Kinekor Mall of Africa', 180, 'IMAX', 'South Africa, Johannesburg'),
('Ster-Kinekor Rosebank Mall', 280, 'IMAX', 'South Africa, Johannesburg'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Ster-Kinekor The Grove', 150, '3D', 'South Africa, Pretoria'),
('Ster-Kinekor The Grove Mall', 190, '3D', 'South Africa, Pretoria'),
('Ster-Kinekor The Zone', 190, 'Standard', 'South Africa, Johannesburg'),
('Ster-Kinekor Tyger Valley', 190, '3D', 'South Africa, Cape Town'),
('Ster-Kinekor Tygervalley', 190, '3D', 'South Africa, Cape Town'),
('Ster-Kinekor Westgate Shopping Centre', 290, 'IMAX', 'South Africa, Roodepoort'),
('Styx', 170, 'Standard', 'Belgium, Brussels'),
('T Joy Hakata', 220, 'IMAX', 'Japan, Fukuoka'),
('T Joy Kyoto', 190, '3D', 'Japan, Kyoto'),
('T Joy Nijo', 290, 'IMAX', 'Japan, Kyoto'),
('TGV 1 Utama', 260, 'Standard', 'Malaysia, Petaling Jaya'),
('TGV Bukit Tinggi', 240, 'Standard', 'Malaysia, Klang'),
('TGV Cinemas 1 Utama', 310, '3D', 'Malaysia, Petaling Jaya'),
('TGV Cinemas AEON Tebrau City', 240, 'Standard', 'Malaysia, Johor Bahru'),
('TGV Cinemas Bukit Tinggi', 260, 'Standard', 'Malaysia, Klang'),
('TGV Cinemas Bukit Tinggi Klang', 170, 'Standard', 'Malaysia, Klang'),
('TGV Cinemas Gurney Paragon', 170, 'Standard', 'Malaysia, Penang'),
('TGV Cinemas KLCC', 190, '3D', 'Malaysia, Kuala Lumpur'),
('TGV Cinemas One Utama', 220, 'IMAX', 'Malaysia, Petaling Jaya'),
('TGV Cinemas Setia Walk', 240, 'Standard', 'Malaysia, Puchong'),
('TGV Cinemas Sunway Pyramid', 230, 'Standard', 'Malaysia, Petaling Jaya'),
('TGV Sunway Pyramid', 230, 'Standard', 'Malaysia, Petaling Jaya'),
('TOHO Cinemas Namba', 240, 'Standard', 'Japan, Osaka'),
('TOHO Cinemas Roppongi Hills', 280, 'IMAX', 'Japan, Tokyo'),
('The Printworks', 240, 'Standard', 'UK, Manchester'),
('The Space Cinema Belpasso', 240, 'Standard', 'Italy, Belpasso'),
('The Space Cinema Catanzaro Lido', 170, 'Standard', 'Italy, Catanzaro'),
('The Space Cinema Milano Centrale', 260, 'Standard', 'Italy, Milan'),
('The Space Cinema Milano Odeon', 230, 'Standard', 'Italy, Milan'),
('The Space Cinema MilanoFiori', 260, 'Standard', 'Italy, Assago'),
('The Space Cinema Odeon', 220, 'Standard', 'Italy, Milan'),
('The Space Cinema Parco de Medici', 190, '3D', 'Italy, Rome'),
('The Space Cinema Sesto San Giovanni', 220, 'IMAX', 'Italy, Sesto San Giovanni'),
('Toei Uzumasa Eigamura', 230, 'Standard', 'Japan, Kyoto'),
('Toho Cinemas', 290, '3D', 'Japan, Tokyo'),
('Toho Cinemas Hibiya', 240, 'Standard', 'Japan, Tokyo'),
('Toho Cinemas Kawasaki', 290, 'IMAX', 'Japan, Kawasaki'),
('Toho Cinemas Namba', 200, 'IMAX', 'Japan, Osaka'),
('Toho Cinemas Roppongi Hills', 290, '3D', 'Japan, Tokyo'),
('Toho Cinemas Shinjuku', 240, 'Standard', 'Japan, Tokyo'),
('Toho Cinemas Umeda', 170, '3D', 'Japan, Osaka'),
('Toho Cinemas Yokohama', 190, '3D', 'Japan, Yokohama'),
('UA Cityplaza', 230, 'Standard', 'Hong Kong, Hong Kong Island'),
('UA Megabox', 240, 'Standard', 'Hong Kong, Kowloon Bay'),
('UA iSQUARE', 260, 'Standard', 'Hong Kong, Tsim Sha Tsui'),
('UCI Cinemas Ancona', 240, 'Standard', 'Italy, Ancona'),
('UCI Cinemas Bicocca', 190, '3D', 'Italy, Milan'),
('UCI Cinemas Casoria', 170, 'Standard', 'Italy, Naples'),
('UCI Cinemas Certosa', 170, 'Standard', 'Italy, Milan'),
('UCI Cinemas Firenze', 290, 'IMAX', 'Italy, Florence'),
('UCI Cinemas Fiumara', 190, '3D', 'Italy, Genoa'),
('UCI Cinemas Lingotto', 310, '3D', 'Italy, Turin'),
('UCI Cinemas Pioltello', 190, '3D', 'Italy, Milan'),
('UCI Kinoplex Anália Franco', 260, 'Standard', 'Brazil, São Paulo'),
('UCI Kinoplex Morumbi', 290, 'IMAX', 'Brazil, São Paulo'),
('UCI Kinoplex NorteShopping', 200, '3D', 'Brazil, Rio de Janeiro'),
('UCI Kinoplex ParkShopping Campo Grande', 290, 'IMAX', 'Brazil, Campo Grande'),
('UCI Kinoplex Shopping da Ilha', 170, 'Standard', 'Brazil, Sao Luis'),
('UCI Kinowelt Annenhof', 220, 'IMAX', 'Austria, Graz'),
('UCI Kinowelt Bochum', 240, 'Standard', 'Germany, Bochum'),
('UCI Kinowelt Colosseum', 170, 'Standard', 'Germany, Berlin'),
('UCI Kinowelt Dresden', 240, 'Standard', 'Germany, Dresden'),
('UCI Kinowelt Duisburg', 160, 'Standard', 'Germany, Duisburg'),
('UCI Kinowelt Düsseldorf', 220, 'Standard', 'Germany, Düsseldorf'),
('UCI Kinowelt Friedrichshain', 310, '3D', 'Germany, Berlin'),
('UCI Kinowelt Gropius Passagen', 220, 'IMAX', 'Germany, Berlin'),
('UCI Kinowelt Mercedes Platz', 240, 'Standard', 'Germany, Berlin'),
('UCI Kinowelt Millennium City', 230, 'Standard', 'Austria, Vienna'),
('UCI Kinowelt Ruhr Park', 230, 'Standard', 'Germany, Bochum'),
('UCI Kinowelt SCS', 240, 'Standard', 'Austria, Vösendorf'),
('UCI Kinowelt am Eastgate', 230, 'Standard', 'Germany, Berlin'),
('UCI New York City Center', 220, 'IMAX', 'Brazil, Rio de Janeiro'),
('UGC Bercy', 260, 'Standard', 'France, Paris'),
('UGC Cine Cité Strasbourg', 170, 'Standard', 'France, Strasbourg'),
('UGC Cinema de Brouckère', 240, 'Standard', 'Belgium, Brussels'),
('UGC Ciné Cité Bercy', 190, '3D', 'France, Paris'),
('UGC Ciné Cité Confluence', 160, 'Standard', 'France, Lyon'),
('UGC Ciné Cité La Défense', 200, '3D', 'France, La Défense'),
('UGC Ciné Cité Les Halles', 190, '3D', 'France, Paris'),
('UGC Ciné Cité Liège', 220, 'IMAX', 'Belgium, Liège'),
('UGC Ciné Cité Metz', 170, 'Standard', 'Belgium, Metz'),
('UGC Ciné Cité Strasbourg', 240, 'Standard', 'Belgium, Strasbourg'),
('UGC De Brouckère', 230, 'Standard', 'Belgium, Brussels'),
('UGC Les Halles', 280, 'IMAX', 'France, Paris'),
('UGC Toison dOr', 230, 'Standard', 'Belgium, Brussels'),
('UVK Multicines Basadre', 240, 'Standard', 'Peru, Lima'),
('UVK Multicines Larcomar', 310, '3D', 'Peru, Lima'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('United Cinemas Aqua City Odaiba', 190, 'IMAX', 'Japan, Tokyo'),
('United Cinemas Canal City 13', 200, '3D', 'Japan, Fukuoka'),
('United Cinemas Hiroshima', 160, 'Standard', 'Japan, Hiroshima'),
('United Cinemas Kawasaki', 240, 'Standard', 'Japan, Kawasaki'),
('United Cinemas Osaka', 220, 'Standard', 'Japan, Osaka'),
('United Cinemas Sapporo', 170, '3D', 'Japan, Sapporo'),
('United Cinemas Toyosu', 190, 'IMAX', 'Japan, Tokyo'),
('Universal Cinemas', 190, '3D', 'Pakistan, Lahore'),
('Universal Cinemas Emporium Mall', 200, '3D', 'Pakistan, Lahore'),
('Universal Cinemas Multan', 170, 'Standard', 'Pakistan, Multan'),
('Uptown Mall Cinemas', 290, 'IMAX', 'Philippines, Taguig City'),
('Urania Kino', 310, '3D', 'Austria, Vienna'),
('Urania Kino Center', 170, 'Standard', 'Austria, Salzburg'),
('VOX Cineco', 150, 'IMAX', 'Bahrain, Manama'),
('VOX Cineco Seef', 150, 'IMAX', 'Bahrain, Manama'),
('VOX Cinemas', 200, 'Standard', 'Oman, Salalah'),
('VOX Cinemas', 200, 'Standard', 'Qatar, Al Rayyan'),
('VOX Cinemas', 300, 'IMAX', 'Lebanon, Beirut'),
('VOX Cinemas Al Muhaisnah', 170, 'Standard', 'UAE, Dubai'),
('VOX Cinemas Al Qasr Mall', 290, 'IMAX', 'Saudi Arabia, Riyadh'),
('VOX Cinemas City Centre', 300, 'IMAX', 'Lebanon, Beirut'),
('VOX Cinemas City Centre Deira', 290, 'IMAX', 'UAE, Dubai'),
('VOX Cinemas Deira City Centre', 290, 'IMAX', 'UAE, Dubai'),
('VOX Cinemas Doha Festival City', 280, 'IMAX', 'Qatar, Doha'),
('VOX Cinemas Granada Center', 220, 'IMAX', 'Saudi Arabia, Riyadh'),
('VOX Cinemas Mall of the Emirates', 280, 'IMAX', 'UAE, Dubai'),
('VOX Cinemas Mercato Mall', 190, '3D', 'UAE, Dubai'),
('VOX Cinemas Oman Avenues Mall', 200, 'Standard', 'Oman, Muscat'),
